id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NXN	0.623133372160614	7.4384613843991	5.52699126451958	8.77887592077365e-08	1.96577261225958e-06	7.51113842932923
CCT5	-1.03505301065973	5.80800870187444	-5.52289813631551	8.96145408598563e-08	2.00391806171065e-06	7.49146231269951
TCP11L1	-0.90491354211611	6.25393498747085	-5.52194099298557	9.00467927955423e-08	2.01084057317675e-06	7.48686282192085
M6PR	-0.760933466509114	7.21558525082511	-5.51591687852652	9.28143245163052e-08	2.06131063727954e-06	7.45792827468656
SNRPN	0.607337329917588	8.37412946837668	5.51573764125319	9.28979245847142e-08	2.06131063727954e-06	7.45706774535359
PCSK1	-1.11855991437139	6.32726050836771	-5.51565676793702	9.29356696326997e-08	2.06131063727954e-06	7.45667947449752
OLIG1	0.815084637801647	10.3989214562601	5.5141322067229	9.36500124204717e-08	2.07434777511345e-06	7.44936090490969
HTT	-0.661146950401547	7.64097788233184	-5.51319216686436	9.40931373812994e-08	2.0813503573777e-06	7.44484906593952
TIMM23	-0.877905891423165	7.88732800560538	-5.51093143515588	9.51672035816759e-08	2.10227174381031e-06	7.43400080353086
TOB2	0.880508848916786	7.42526707975785	5.50655067832443	9.72825922544805e-08	2.14322442156343e-06	7.41298913113377
TMEM35	-0.613553166445731	6.97700762495516	-5.4961357142691	1.02497386346098e-07	2.25205718444891e-06	7.36308646938348
GDE1	-0.824189266144175	6.4833950811435	-5.49234668315215	1.04461315615046e-07	2.28907142278907e-06	7.34494946415474
HGF	0.956089634690214	6.44135403651569	5.48718861763756	1.07193857615791e-07	2.34268602690725e-06	7.32027465150739
PODNL1	0.65269469728447	6.987687761713	5.48471433665442	1.08529223615924e-07	2.36871172342026e-06	7.30844464165684
VPS39	-0.647552096058053	7.45878670813005	-5.48339311461805	1.09248907407256e-07	2.38124845919192e-06	7.30212929829285
CASC4	0.951250689539424	6.13161056936323	5.4797255472409	1.11271118369146e-07	2.42210478245508e-06	7.28460469893951
NDE1	0.77506680871408	7.17819952301345	5.47883799420716	1.11765946717531e-07	2.4296493801685e-06	7.28036508605787
DDX25	-0.643151123734397	7.47624526628251	-5.47711618353697	1.12732009495397e-07	2.44215189515974e-06	7.27214193764585
CYYR1	0.842664053127077	5.25672523852915	5.47701757193868	1.12787583422918e-07	2.44215189515974e-06	7.27167104111358
ZBBX	-0.801021132669087	5.90730682528251	-5.47701673805602	1.1278805348276e-07	2.44215189515974e-06	7.27166705913038
EXOSC5	-0.812400569028862	6.24574735109417	-5.47660555410297	1.13020070553814e-07	2.44394719847964e-06	7.26970361689388
BYSL	-0.674971537201099	6.61430252265471	-5.47436214923443	1.14294157568463e-07	2.46499412724299e-06	7.25899313419968
LMO4	0.734699205276574	9.7221383182287	5.46973959849911	1.16963683110546e-07	2.51925325869246e-06	7.23693470919781
TRIL	0.748090002731007	8.03180207033632	5.46675570477684	1.18719030173141e-07	2.55035861542327e-06	7.22270339939673
DLG3	-0.7770168239005	5.91904177937668	-5.4636635909368	1.2056510197783e-07	2.58324521113543e-06	7.20796222582948
SYCE1	-0.893932849635543	4.5714116423991	-5.46060103477449	1.22421070147145e-07	2.61617178719929e-06	7.19336826574059
PLK2	-0.947514182806644	8.84577627065919	-5.45486031688585	1.25975298548933e-07	2.68163781625397e-06	7.16602900116343
FAM101B	0.634861168330269	8.07982984843946	5.45036441022206	1.28828800808243e-07	2.7388234423449e-06	7.1446333591794
SUN2	0.603679162323816	8.70718800439462	5.44957051513313	1.29339173174212e-07	2.74611190090479e-06	7.14085668561366
SH3RF1	0.610826061078208	7.8427135969148	5.44922229914954	1.29563651865001e-07	2.74731929847248e-06	7.13920030512916
PPP1R14C	-0.81755813780358	6.41058559369955	-5.44355450008497	1.33271202274023e-07	2.81501066555865e-06	7.11225136122628
PDCD6	-0.705215078746974	8.59657559710762	-5.44005605643567	1.35611026881281e-07	2.8577379543579e-06	7.09562790158672
RAB1A	-1.06064582865215	6.41166612516144	-5.43969482506594	1.35854890977949e-07	2.8577379543579e-06	7.09391191592924
NEUROD6	-0.898682124629737	6.98253723361883	-5.43949284113566	1.35991434592103e-07	2.8577379543579e-06	7.09295245401398
GOLGA8A	0.869142937992582	7.77457014196861	5.43415214012261	1.39650677782968e-07	2.93087613257443e-06	7.06759304604968
NDUFA11	-0.728687007001779	8.56841396344843	-5.43270540061217	1.40658315931772e-07	2.94824866552131e-06	7.06072674635766
WWTR1	0.769135351551038	6.12060197807623	5.42835841424962	1.43728713850017e-07	3.00875778890885e-06	7.04010418512118
RPS3	0.646903186968718	10.9623500289731	5.42783940913431	1.44099632993296e-07	3.01267485254225e-06	7.03764281859639
SLC25A48	0.655984539975486	6.22079932305381	5.4251647326514	1.46025976898172e-07	3.04418646548381e-06	7.02496111455401
TRIM14	0.735678905555872	7.84784830968161	5.42268356921502	1.4783534759323e-07	3.07508779492466e-06	7.01320123297838
CGREF1	-0.87816668914917	6.52575131686995	-5.42149519767139	1.48709670209724e-07	3.08935387123902e-06	7.00757021720473
TRIM4	0.700359680105795	6.29309023413453	5.41995775052911	1.49848289934493e-07	3.10906749407123e-06	7.00028654053391
SLC1A6	-0.993181695676986	4.79250466750673	-5.41504925048591	1.53540565025496e-07	3.17763055723851e-06	6.97704310045606
KLHL2	0.655413932023706	10.1467493241839	5.41320817721954	1.54948169654845e-07	3.20271809434118e-06	6.96832916632619
